day,f1,precision,recall,accuracy,support
2010-06-26,0.0,0.0,0.0,0.85,9.0
2010-06-28,0.95,0.6333333333333333,0.98,0.85,977.0
2010-06-29,0.965,0.955,0.98,0.85,977.0
2010-06-30,0.75,0.46,0.98,0.85,977.0
2010-07-01,0.0,0.0,0.0,0.85,977.0
2010-07-02,0.0,0.0,0.0,0.85,976.0
2010-07-03,0.0,0.0,0.0,0.85,14.0
2010-07-06,0.965,0.955,0.98,0.85,976.0
2010-07-07,0.0,0.0,0.0,0.85,976.0
2010-07-08,0.965,0.955,0.98,0.85,976.0
2010-07-09,0.965,0.6952380952380952,0.9727272727272727,0.85,974.0
2010-07-10,0.0,0.0,0.0,0.85,11.0
2010-07-12,0.0,0.0,0.0,0.85,974.0
2010-07-13,0.0,0.0,0.0,0.85,974.0
2010-07-14,0.965,0.955,0.98,0.85,974.0
2010-07-15,0.0,0.0,0.0,0.85,974.0
2010-07-16,0.0,0.0,0.0,0.85,972.0
2010-07-17,0.0,0.0,0.0,0.85,13.0
2010-07-19,0.0,0.0,0.0,0.85,972.0
2010-07-20,0.0,0.0,0.0,0.85,972.0
2010-07-21,0.965,0.8500000000000001,0.98,0.85,972.0
2010-07-22,0.9517241379310346,0.6136363636363636,0.98,0.85,972.0
2010-07-23,0.965,0.955,0.98,0.85,971.0
2010-07-24,0.0,0.0,0.0,0.85,13.0
2010-07-26,0.965,0.955,0.98,0.85,971.0
2010-07-27,0.6375,0.38571428571428573,0.98,0.85,971.0
2010-07-28,0.965,0.6333333333333333,0.98,0.85,971.0
2010-07-29,0.0,0.0,0.0,0.85,971.0
2010-07-30,0.965,0.8500000000000001,0.98,0.85,969.0
2010-07-31,0.0,0.0,0.0,0.85,16.0
2010-08-02,0.965,0.8333333333333333,0.98,0.85,969.0
2010-08-03,0.9260869565217391,0.5924528301886793,0.98,0.85,969.0
2010-08-04,0.0,0.0,0.0,0.85,969.0
2010-08-05,0.965,0.955,0.98,0.85,969.0
2010-08-06,0.965,0.8964285714285714,0.98,0.85,968.0
2010-08-07,0.0,0.0,0.0,0.85,11.0
2010-08-09,0.965,0.955,0.98,0.85,968.0
2010-08-10,0.965,0.955,0.98,0.85,968.0
2010-08-11,0.965,0.6457142857142857,0.98,0.85,968.0
2010-08-12,0.965,0.72,0.98,0.85,968.0
2010-08-13,0.965,0.955,0.98,0.85,968.0
2010-08-14,0.0,0.0,0.0,0.85,10.0
2010-08-16,0.965,0.955,0.98,0.85,968.0
2010-08-17,0.965,0.6627118644067798,0.98,0.85,968.0
2010-08-18,0.965,0.8500000000000001,0.98,0.85,968.0
2010-08-19,0.965,0.6333333333333333,0.98,0.85,968.0
2010-08-20,0.0,0.0,0.0,0.85,967.0
2010-08-21,0.0,0.0,0.0,0.85,14.0
2010-08-23,0.0,0.0,0.0,0.85,967.0
2010-08-24,0.965,0.955,0.98,0.85,967.0
2010-08-25,0.0,0.0,0.0,0.85,967.0
2010-08-26,0.0,0.0,0.0,0.85,967.0
2010-08-27,0.790909090909091,0.4888888888888889,0.98,0.85,965.0
2010-08-28,0.0,0.0,0.0,0.85,7.0
2010-08-30,0.78,0.4888888888888889,0.98,0.85,965.0
2010-08-31,0.965,0.7441860465116279,0.98,0.85,965.0
2010-09-01,0.0,0.0,0.0,0.85,965.0
2010-09-02,0.8400000000000001,0.525,0.98,0.85,965.0
2010-09-03,0.965,0.955,0.98,0.85,964.0
2010-09-04,0.0,0.0,0.0,0.85,13.0
2010-09-07,0.0,0.0,0.0,0.85,964.0
2010-09-08,0.42272727272727273,0.2619047619047619,0.98,0.85,964.0
2010-09-09,0.965,0.955,0.98,0.85,964.0
2010-09-10,0.0,0.0,0.0,0.85,964.0
2010-09-11,0.0,0.0,0.0,0.85,8.0
2010-09-13,0.965,0.6612903225806452,0.98,0.85,964.0
2010-09-14,0.0,0.0,0.0,0.85,964.0
